nazwa_leku,substancja_czynna,postac_leku,dawka_leku,zawartosc_opakowania,identyfikator_leku,lp
Nossin,Levocetirizini dihydrochloridum, tabl. powl., 5 mg,28 szt.,05909991060589,3129
NovoEight,Turoctocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 250 j.m.,1 fiol. + 1 amp.-strz.+ 1 ³¹cznik fiol.,05909991203375,3130
NovoEight,Turoctocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 500 j.m.,1 fiol. + 1 amp.-strz.+ 1 ³¹cznik fiol.,05909991203382,3131
NovoEight,Turoctocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1000 j.m.,1 fiol. + 1 amp.-strz.+ 1 ³¹cznik fiol.,05909991203399,3132
NovoEight,Turoctocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1500 j.m.,1 fiol. + 1 amp.-strz.+ 1 ³¹cznik fiol.,05909991203405,3133
NovoEight,Turoctocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 2000 j.m.,1 fiol. + 1 amp.-strz.+ 1 ³¹cznik fiol.,05909991203412,3134
NovoEight,Turoctocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 3000 j.m.,1 fiol. + 1 amp.-strz.+ 1 ³¹cznik fiol.,05909991203429,3135
Novo-Helisen Depot,Alergeny kurzu domowego, zawiesina do wstrzykiwañ, stê¿enie: 1 - 50 TU/ml lub 50 PNU/ml; 2 - 500 TU/ml lub 500 PNU/ml; 3 - 5000 TU/ml lub 5000 PNU/ml,3 fiol.po 4;5 ml (stê¿enia 1-3),05909990001118,3136
Novo-Helisen Depot,Wyci¹gi alergenowe roztoczy kurzu domowego, zawiesina do wstrzykiwañ, stê¿enie 3 - 5000 TU/ml lub 5000 PNU/ml,2 fiol.po 4;5 ml (stê¿enie 3),05909990766871,3137
NovoMix 30 Penfill,Insulinum aspartum, zawiesina do wstrzykiwañ we wk³adzie, 100 j/ml,5 wk³.po 3 ml,05909990879915,3138
NovoMix 50 Penfill,Insulinum aspartum, zawiesina do wstrzykiwañ we wk³adzie, 100 j/ml,5 wk³.po 3ml,05909990614981,3139
NovoRapid,Insulinum aspartum, roztwór do wstrzykiwañ, 100 j/ml,1 fiol.po 10 ml,05909991369668,3140
NovoRapid Penfill,Insulinum aspartum, roztwór do wstrzykiwañ we wk³adzie, 100 j/ml,5 wk³.po 3 ml,05909990451814,3141
Noxafil,Posaconazolum, zawiesina doustna, 40 mg/ml,105 ml,05909990335244,3142
Nplate,Romiplostimum, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 250 mcg,1 fiol. proszku + zestaw do rozpuszczenia leku,05909990766994,3143
Nplate,Romiplostimum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 125 mcg,1 fiol. proszku,08715131018139,3144
Nubeqa,Darolutamidum, tabl. powl., 300 mg,112 szt.,05908229303337,3145
Nucala,Mepolizumabum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 100 mg,1 fiol. proszku,05909991246617,3146
Nucala,Mepolizumabum, roztwór do wstrzykiwañ, 100 mg,1 wstrzykiwacz,05909991407018,3147
Nucala,Mepolizumabum, roztwór do wstrzykiwañ, 100 mg,1 ampu³ko-strzykawka,05909991407148,3148
Nutramigen 1 LGG Complete,Dieta eliminacyjna mlekozastêpcza, proszek do sporz¹dzania roztworu,,400 g,8712045038819,3149
Nutramigen 2 LGG Complete,Dieta eliminacyjna mlekozastêpcza, proszek do sporz¹dzania roztworu,,400 g,8712045038826,3150
Nutramigen 3 LGG Complete,Dieta eliminacyjna mlekozastêpcza, proszek do sporz¹dzania roztworu,,400 g,8712045038833,3151
Nutramigen PURAMINO,Dieta eliminacyjna mlekozastêpcza, proszek do przygotowania roztworu doustnego,,400 g,8712045027554,3152
Nutramigen PURAMINO JUNIOR,Dieta eliminacyjna mlekozastêpcza, proszek,,400 g,8712045037201,3153
Nuwiq,Simoktokog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 250 j.m.,1 fiol. + 1 amp.-strz.po 2;5 ml,05909991211912,3154
Nuwiq,Simoktokog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 500 j.m.,1 fiol. + 1 amp.-strz.po 2;5 ml,05909991211929,3155
Nuwiq,Simoktokog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1000 j.m.,1 fiol. + 1 amp.-strz.po 2;5 ml,05909991211936,3156
Nuwiq,Simoktokog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 2000 j.m.,1 fiol. + 1 amp.-strz.po 2;5 ml,05909991211943,3157
OC-35,Cyproteroni acetas + Ethinylestradiolum, tabl. powl., 2+0.035 mg,21 szt.,05909990046171,3158
OC-35,Cyproteroni acetas + Ethinylestradiolum, tabl. powl., 2+0.035 mg,63 szt.,05909990046188,3159
Ocrevus,Ocrelizumabum, koncentrat do sporz¹dzania roztworu do infuzji, 30 mg/ml,10 ml,05902768001174,3160
Octanate 1 000 IU,Factor VIII coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzenia roztworu do wstrzykiwañ, 1000 j.m.,1 fiol. (1000 j.m.) + zestaw do sporz¹dzania roztworu i podania,05909990825349,3161
Octanate 250 IU,Factor VIII coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzenia roztworu do wstrzykiwañ, 250 j.m.,1 fiol. (250 j.m.) + zestaw do sporz¹dzania roztworu i podania,05909990825301,3162
Octanate 500 IU,Factor VIII coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzenia roztworu do wstrzykiwañ, 500 j.m.,1 fiol. (500 j.m.) + zestaw do sporz¹dzania roztworu i podania,05909990825332,3163
Octanine F 1000 IU,Factor IX coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzenia roztworu do wstrzykiwañ, 1000 j.m.,1 fiol.,05909990799374,3164
Octanine F 500 IU,Factor IX coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzenia roztworu do wstrzykiwañ, 500 j.m.,1 fiol.,05909990799367,3165
Oculobrim,Brimonidini tartras, krople do oczu; roztwór, 2 mg/ml,3 butelki po 5 ml,05907553017897,3166
Oculobrim,Brimonidinum, krople do oczu; roztwór, 2 mg/ml,1 butelka po 5 ml,05909991304751,3167
Ofev,Nintedanibum, kaps. miêkkie, 100 mg,60 szt.,05909991206444,3168
Ofev,Nintedanibum, kaps. miêkkie, 150 mg,60 szt.,05909991206468,3169
Oftensin,Timololum, krople do oczu; roztwór, 2.5 mg/ml,5 ml,05909990073610,3170
Oftensin,Timololum, krople do oczu; roztwór, 5 mg/ml,5 ml,05909990073719,3171
Oftidorix,Dorzolamidum + Timololum, krople do oczu; roztwór, 20+5 mg/ml,5 ml,05909990866144,3172
Ogivri,Trastuzumabum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 150 mg,1 fiol. proszku 15 ml,05901797710415,3173
Ogivri,Trastuzumabum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 420 mg,1 fiol. proszku,05901797710781,3174
OKmeter Core,Paski do oznaczania glukozy we krwi, test paskowy,,50 szt.,4712803561836,3175
Okteva,Octreotidum, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ o przed³u¿onym uwalnianiu, 10 mg,1 fiol. proszku + 1 amp.-strzyk. rozp.,05909991416461,3176
Okteva,Octreotidum, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ o przed³u¿onym uwalnianiu, 20 mg,1 fiol. proszku + 1 amp.-strzyk. rozp.,05909991416485,3177
Okteva,Octreotidum, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ o przed³u¿onym uwalnianiu, 30 mg,1 fiol. proszku + 1 amp.-strzyk. rozp.,05909991416508,3178
Olanzapina Mylan,Olanzapinum, tabl. powl., 5 mg,28 szt.,05909990697526,3179
Olanzapina Mylan,Olanzapinum, tabl. powl., 10 mg,28 szt.,05909990697649,3180
Olanzapina Mylan,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 5 mg,28 szt.,05909991136451,3181
Olanzapina Mylan,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,28 szt.,05909991136475,3182
Olanzapina Mylan,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 15 mg,28 szt.,05909991136499,3183
Olanzapina Mylan,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 20 mg,28 szt.,05909991136512,3184
Olanzapina Stada,Olanzapinum, tabl. powl., 5 mg,28 szt.,05909990896738,3185
Olanzapina Stada,Olanzapinum, tabl. powl., 10 mg,28 szt.,05909990896745,3186
Olanzapine +pharma,Olanzapinum, tabl., 5 mg,30 szt.,05901720140067,3187
Olanzapine +pharma,Olanzapinum, tabl., 10 mg,30 szt.,05901720140074,3188
Olanzapine Apotex,Olanzapinum, tabl. powl., 5 mg,28 szt.,05909990793341,3189
Olanzapine Apotex,Olanzapinum, tabl. powl., 10 mg,28 szt.,05909990793365,3190
Olanzapine Apotex,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990793389,3191
Olanzapine Apotex,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 20 mg,28 szt.,05909990793402,3192
Olanzapine Apotex,Olanzapinum, tabl. powl., 5 mg,98 szt.,05909991230586,3193
Olanzapine Apotex,Olanzapinum, tabl. powl., 10 mg,98 szt.,05909991230593,3194
Olanzapine Apotex,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 5 mg,98 szt.,05909991230609,3195
Olanzapine Apotex,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,98 szt.,05909991230616,3196
Olanzapine Bluefish,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 5 mg,28 szt.,05909990865901,3197
Olanzapine Bluefish,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990865956,3198
Olanzapine Bluefish,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 15 mg,28 szt.,05909990866021,3199
Olanzapine Lekam,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 5 mg,28 szt.,05909990763443,3200
Olanzapine Lekam,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990763467,3201
Olanzapine Lekam,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 15 mg,28 szt.,05909990763481,3202
Olanzapine Lekam,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 20 mg,28 szt.,05909990763498,3203
Olanzapine Mylan,Olanzapinum, tabl. powl., 10 mg,28 szt.,05901878600451,3204
Olanzapine Mylan,Olanzapinum, tabl. powl., 10 mg,98 szt.,05902020926870,3205
Olanzaran,Olanzapinum, tabl., 5 mg,28 szt.,05909990766895,3206
Olanzaran,Olanzapinum, tabl., 10 mg,28 szt.,05909990766901,3207
Olanzaran,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990767052,3208
Olanzin,Olanzapinum, tabl. powl., 5 mg,28 szt.,05909990637126,3209
Olanzin,Olanzapinum, tabl. powl., 10 mg,28 szt.,05909990637218,3210
Olanzin,Olanzapina, tabl. powl., 5 mg,30 szt.,05909991369743,3211
Olanzin,Olanzapina, tabl. powl., 10 mg,30 szt.,05909991369781,3212
Olazax,Olanzapinum, tabl., 5 mg,28 szt.,05909990782239,3213
Olazax,Olanzapinum, tabl., 10 mg,28 szt.,05909990782246,3214
Olazax Disperzi,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 5 mg,28 szt.,05909990782253,3215
Olazax Disperzi,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990782260,3216
Olazax Disperzi,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 20 mg,28 szt.,05909990925186,3217
Olazax Disperzi,Olanzapinum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 15 mg,28 tabl.,05909991094539,3218
Olfen 75,Diclofenacum natricum + Lidocaini hydrochloridum, roztwór do wstrzykiwañ, (37.5+10) mg/ml,5 amp.po 2 ml,05909990161119,3219
Olfen 75 SR,Diclofenacum natricum, tabl. powl. o przed³u¿onym uwalnianiu, 75 mg,30 szt.,05909990974122,3220
Olfen Uno,Diclofenacum, tabl. o zmodyfikowanym uwalnianiu, 150 mg,30 szt.,05909990457120,3221
Olfen UNO,Diclofenacum, tabl. o zmodyfikowanym uwalnianiu, 150 mg,60 szt. (6 blist.po 10 szt.),05909990457137,3222
Olpinat,Olanzapinum, tabl. powl., 5 mg,28 szt.,05909990781782,3223
Olpinat,Olanzapinum, tabl. powl., 10 mg,28 szt.,05909990781805,3224
Olumiant,Baricitinibum, tabl. powl., 2 mg,35 szt.,03837000170740,3225
Olumiant,Baricitinibum, tabl. powl., 4 mg,35 szt.,03837000170825,3226
Olzapin,Olanzapinum, tabl. powl., 5 mg,28 szt.,05909990335343,3227
Olzapin,Olanzapinum, tabl. powl., 5 mg,56 szt.,05909990335350,3228
Olzapin,Olanzapinum, tabl. powl., 10 mg,28 szt.,05909990335367,3229
Olzapin,Olanzapinum, tabl. powl., 10 mg,56 szt.,05909990335374,3230
Olzapin,Olanzapinum, tabl. powl., 10 mg,30 szt.,05909990422241,3231
Olzapin,Olanzapinum, tabl. powl., 10 mg,60 szt.,05909990422258,3232
Olzapin,Olanzapinum, tabl. powl., 5 mg,30 szt.,05909990422265,3233
Olzapin,Olanzapinum, tabl. powl., 5 mg,60 szt.,05909990422272,3234
Olzapin,Olanzapinum, tabl. powl., 5 mg,90 szt.,05909991065942,3235
Olzapin,Olanzapinum, tabl. powl., 10 mg,90 szt.,05909991066000,3236
Olzapin,Olanzapinum, tabl. powl., 5 mg,120 szt.,05909991144258,3237
Olzapin,Olanzapinum, tabl. powl., 10 mg,120 szt.,05909991144265,3238
Olzapin,Olanzapinum, tabl. powl., 10 mg,112 szt.,05909991231910,3239
Olzapin,Olanzapinum, tabl. powl., 5 mg,112 szt.,05909991231927,3240
Omeprazol Aurobindo,Omeprazolum, kaps. dojel. twarde, 20 mg,28 szt.,05909990920747,3241
Omeprazole Genoptim,Omeprazolum, kaps., 20 mg,28 szt.,05909990668779,3242
Omeprazole Genoptim,Omeprazolum, kaps. dojelitowe; twarde, 40 mg,28 szt.,05909991271442,3243
Omnic 0.4,Tamsulosinum, kaps. o zmodyfikowanym uwalnianiu, 0.4 mg,30 szt.,05909990716418,3244
Omnic Ocas 0.4,Tamsulosinum, tabl. powl. o przed³u¿onym uwalnianiu, 0.4 mg,30 szt.,05909990219070,3245
Omnitrope,Somatropinum, roztwór do wstrzykiwañ, 5 mg/1.5 ml (15 j.m.),5 wk³.po 1;5 ml,05909990050161,3246
Omnitrope,Somatropinum, roztwór do wstrzykiwañ, 10 mg/1.5 ml (30 j.m.),5 wk³.po 1;5 ml,05909990072897,3247
Omsal 0.4 mg kapsu³ki o przed³u¿onym uwalnianiu,Tamsulosini hydrochloridum, kaps. o przed³u¿onym uwalnianiu; twarde, 0.4 mg,30 szt.,05909990586196,3248
Oncaspar,Pegaspargasum, proszek do sporz¹dzania roztworu do wstrzykiwañ/ do infuzji, 750 j.m./ml,1 fiol. proszku,00642621070989,3249
Ondansetron Accord,Ondansetronum, roztwór do wstrzykiwañ lub infuzji, 2 mg/ml,5 amp. po 2 ml,05909990822225,3250
Ondansetron Accord,Ondansetronum, roztwór do wstrzykiwañ lub infuzji, 2 mg/ml,5 amp. po 4 ml,05909990822249,3251
Ondansetron Bluefish,Ondansetronum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 4 mg,10 szt.,05909990777044,3252
Ondansetron Bluefish,Ondansetronum, tabl. ulegaj¹ce rozpadowi w jamie ustnej, 8 mg,10 szt.,05909990777150,3253
Ondansetron Kabi 2 mg/ml roztwór do wstrzykiwañ,Ondansetronum, roztwór do wstrzykiwañ, 2 mg/ml,5 amp.po 2 ml,05909990055197,3254
Ondansetron Kabi 2 mg/ml roztwór do wstrzykiwañ,Ondansetronum, roztwór do wstrzykiwañ, 2 mg/ml,5 amp.po 4 ml,05909990055234,3255
One Touch Select Plus,Paski do oznaczania glukozy we krwi, test paskowy,,50 szt.,7613427012759,3256
Opacorden,Amiodaroni hydrochloridum, tabl. powl., 200 mg,60 szt.,05909990086818,3257
Opamid,Indapamidum, tabl. o przed³u¿onym uwalnianiu, 1.5 mg,30 szt.,05909990770182,3258
Opdivo,Nivolumabum, koncentrat do sporz¹dzania roztworu do infuzji, 10 mg/ml,1 fiol.po 4 ml,05909991220501,3259
Opdivo,Nivolumabum, koncentrat do sporz¹dzania roztworu do infuzji, 10 mg/ml,1 fiol.po 10 ml,05909991220518,3260
Opokan forte,Meloxicamum, tabl., 15 mg,10 szt.,05909990612406,3261
Opokan forte,Meloxicamum, tabl., 15 mg,30 szt.,05909990612420,3262
Oprymea,Pramipexolum, tabl. o przed³. uwalnianiu, 1.05 mg,30 szt.,05909991238582,3263
Oprymea,Pramipexolum, tabl. o przed³. uwalnianiu, 1.57 mg,30 szt.,05909991238629,3264
Oprymea,Pramipexolum, tabl. o przed³. uwalnianiu, 2.1 mg,30 szt.,05909991238667,3265
Oprymea,Pramipexolum, tabl. o przed³. uwalnianiu; 0;26+0,52+1.05 mg,21 szt.,05909991238773,3266
Opsumit,Macytentan, tabl. powl., 10 mg,30 tabl.,07640111931133,3267
Optibetol 0.5%,Betaxololum, krople do oczu; roztwór, 5 mg/ml,5 ml (but.),05909990925513,3268
Optilamid,Brinzolamidum, krople do oczu; zawiesina, 10 mg/ml,1 but.po 5 ml,05909991223571,3269
Optilamid,Brinzolamidum, krople do oczu; zawiesina, 10 mg/ml,3 butelki po 5 ml,05909991223588,3270
Optium Xido,Paski do oznaczania glukozy we krwi, test paskowy,,50 szt.,5021791707249,3271
Orfadin,Nitisinonum, kaps. twarde, 2 mg,60 kaps.,05909990214754,3272
Orfadin,Nitisinonum, kaps. twarde, 5 mg,60 kaps.,05909990214761,3273
Orfadin,Nitisinonum, kaps. twarde, 10 mg,60 kaps.,05909990214778,3274
Orfadin,Nitisinonum, kaps. twarde, 20 mg,60 kaps.,05909991218133,3275
Orfadin,Nitisinonum, kaps. twarde, 20 mg,60 kaps.,07350031441833,3276
Orfadin,Nitisinonum, kaps. twarde, 10 mg,60 kaps.,07350031442182,3277
Orfadin,Nitisinonum, kaps. twarde, 5 mg,60 kaps.,07350031442229,3278
Orfadin,Nitisinonum, kaps. twarde, 2 mg,60 kaps.,07350031442267,3279
Orgalutran,Ganirelixum, roztwór do wstrzykiwañ, 0.25 mg,1 amp.-strz.,05909990880911,3280
Orilukast,Montelukastum, tabl. do rozgryzania i ¿ucia, 4 mg,28 szt.,05909990893188,3281
Orilukast,Montelukastum, tabl. do rozgryzania i ¿ucia, 5 mg,28 szt.,05909990893263,3282
Orilukast,Montelukastum, tabl., 10 mg,28 szt.,05909990893294,3283
Oritop,Topiramatum, tabl. powl., 25 mg,60 szt.,05909990715084,3284
Oritop,Topiramatum, tabl. powl., 50 mg,60 szt.,05909990715145,3285
Oritop,Topiramatum, tabl. powl., 100 mg,60 szt.,05909990715169,3286
Oriven,Venlafaxinum, kaps. o przed³u¿onym uwalnianiu; twarde, 75 mg,28 szt.,05909990795789,3287
Oriven,Venlafaxinum, kaps. o przed³u¿onym uwalnianiu; twarde, 75 mg,98 szt.,05909990795796,3288
Oriven,Venlafaxinum, kaps. o przed³u¿onym uwalnianiu; twarde, 37.5 mg,28 szt.,05909990795802,3289
Oriven,Venlafaxinum, kaps. o przed³u¿onym uwalnianiu; twarde, 37.5 mg,98 szt.,05909990795819,3290
Oriven,Venlafaxinum, kaps. o przed³u¿onym uwalnianiu; twarde, 150 mg,28 szt.,05909990795826,3291
Oriven,Venlafaxinum, kaps. o przed³u¿onym uwalnianiu; twarde, 150 mg,98 szt.,05909990795833,3292
Orizon,Risperidonum, roztwór doustny, 1 mg/ml,1 but. 100 ml,05909990690138,3293
Orizon,Risperidonum, tabl. powl., 1 mg,20 szt.,05909990831258,3294
Orizon,Risperidonum, tabl. powl., 1 mg,60 szt.,05909990831265,3295
Orizon,Risperidonum, tabl. powl., 2 mg,60 szt.,05909990831272,3296
Orizon,Risperidonum, tabl. powl., 3 mg,60 szt.,05909990831289,3297
Orizon,Risperidonum, tabl. powl., 4 mg,60 szt.,05909990831296,3298
Orkambi,Ivacaftorum + Lumacaftorum, granulat, 125+100 mg,56 sasz.,00351167131701,3299
Orkambi,Ivacaftorum + Lumacaftorum, granulat, 188+150 mg,56 sasz.,00351167131800,3300
Orungal,Itraconazolum, kaps., 100 mg,4 szt.,05909990004317,3301
Orungal,Itraconazolum, kaps., 100 mg,28 szt.,05909990004331,3302
Ospamox,Amoxicillinum, proszek do sporz¹dzania zawiesiny doustnej, 500 mg/5 ml,1 but. 60 ml,05907626702361,3303
Ospamox,Amoxicillinum, tabl. powl., 500 mg,16 szt.,05909990293124,3304
Ospamox,Amoxicillinum, tabl. powl., 750 mg,16 szt.,05909990293223,3305
Ospamox,Amoxicillinum, tabl. powl., 1000 mg,16 szt.,05909990293322,3306
Ospamox,Amoxicillinum, proszek do sporz¹dzania zawiesiny doustnej, 500 mg/5 ml,1 but.po 100 ml,05909990781874,3307
Ospamox 1000 mg,Amoxicillinum, tabl., 1000 mg,20 szt.,05909990778041,3308
Ospamox 500 mg,Amoxicillinum, tabl. powl., 500 mg,20 szt.,05909990788453,3309
Ospamox 750 mg,Amoxicillinum, tabl. powl., 750 mg,20 szt.,05909990788477,3310
Ospen 1000,Phenoxymethylpenicillinum kalicum, tabl. powl., 1000000 j.m.,12 szt.,05909990070916,3311
Ospen 1000,Phenoxymethylpenicillinum kalicum, tabl. powl., 1000000 j.m.,30 szt.,05909990070923,3312
Ospen 1500,Phenoxymethylpenicillinum kalicum, tabl. powl., 1500000 j.m.,12 szt.,05909990071012,3313
Ospen 1500,Phenoxymethylpenicillinum, tabl. powl., 1500000 j.m.,30 tabl.,05909990071029,3314
Ospen 750,Benzathini phenoxymethylpenicillinum, zawiesina doustna, 750000 j.m./5 ml,60 ml,05909990363216,3315
Ospen 750,Phenoxymethylpenicillinum, zawiesina doustna, 750000 j.m./5 ml,150 ml,05909990363223,3316
Osporil,Acidum zoledronicum, roztwór do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,05909991228392,3317
Ostemax 70 comfort,Acidum alendronicum, tabl., 70 mg,4 szt.,05909991081713,3318
Ostenil 70,Acidum alendronicum, tabl., 70 mg,4 szt.,05909991087418,3319
Ostenil 70,Acidum alendronicum, tabl., 70 mg,6 szt.,05909991087425,3320
Ostolek,Acidum alendronicum, tabl. powl., 70 mg,4 szt. (1 blist.po 4 szt.),05909991032517,3321
Ovaleap,Follitropinum alfa, roztwór do wstrzykiwañ, 300 j.m./0.5 ml,1 wk³ad 0;5ml + 10 igie³ iniekcyjnych,05909991088125,3322
Ovaleap,Follitropinum alfa, roztwór do wstrzykiwañ, 900 j.m./1.5 ml,1 wk³ad 1;5ml + 20 igie³ iniekcyjnych,05909991088149,3323
Oxaliplatin Kabi,Oxaliplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 5 mg/ml,1 fiol.po 10 ml,05909990798247,3324
Oxaliplatin Kabi,Oxaliplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 5 mg/ml,1 fiol.po 20 ml,05909990798254,3325
Oxaliplatin Kabi,Oxaliplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 5 mg/ml,1 fiol.po 40 ml,05909990827381,3326
Oxaliplatinum Accord,Oxaliplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 5 mg/ml,1 fiol. a 10 ml,05909990796151,3327
Oxaliplatinum Accord,Oxaliplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 5 mg/ml,1 fiol. a 20 ml,05909990796168,3328
Oxaliplatinum Accord,Oxaliplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 5 mg/ml,1 fiol. a 40 ml,05909990827206,3329
Oxcarbazepin NeuroPharma,Oxcarbazepinum, tabl. powl., 300 mg,50 tabl.,05909991300661,3330
Oxcarbazepin NeuroPharma,Oxcarbazepinum, tabl. powl., 600 mg,50 tabl.,05909991300739,3331
Oxcarbazepin NeuroPharma,Oxcarbazepinum, tabl. powl., 150 mg,50 tabl.,05909991303518,3332
Oxepilax,Oxcarbazepinum, tabl., 300 mg,50 szt.,05909991057480,3333
Oxepilax,Oxcarbazepinum, tabl., 600 mg,50 szt.,05909991057497,3334
Oxis Turbuhaler,Formoteroli fumaras dihydricus, proszek do inhalacji, 4.5 µg/dawkê,1 inh.po 60 daw.,05909990445219,3335
Oxis Turbuhaler,Formoteroli fumaras dihydricus, proszek do inhalacji, 9 µg/dawkê,1 inh.po 60 daw.,05909990445318,3336
Oxlumo,Lumasiranum, roztwór do wstrzykniêæ podskórnych; 94,5 mg/0.5ml,1 fiol. 0;5 ml,08720165814138,3337
Oxodil PPH,Formoteroli fumaras dihydricus, proszek do inhalacji w kaps. twardych, 12 µg,60 kaps.,05909990849000,3338
Oxodil PPH,Formoterolum, proszek do inhalacji w kaps. twardych, 12 µg,120 szt.,05909990996681,3339
Oxsoralen,8-Methoxypsoralenum, kaps. miêkkie, 10 mg,50 szt.,05909990244713,3340
Oxycardil 120,Diltiazemi hydrochloridum, tabl. powl. o przed³u¿onym uwalnianiu, 120 mg,30 szt.,05909990112616,3341
Oxycardil 60,Diltiazemi hydrochloridum, tabl. powl., 60 mg,60 szt.,05909990121120,3342
OxyContin,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 5 mg,60 szt.,05909990643905,3343
OxyContin,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 10 mg,60 szt.,05909990643943,3344
OxyContin,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 20 mg,60 szt.,05909990644001,3345
OxyContin,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 40 mg,60 szt.,05909990644025,3346
OxyContin,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 80 mg,60 szt.,05909990644049,3347
Oxydolor,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 5 mg,60 szt.,05909990839469,3348
Oxydolor,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 10 mg,60 szt.,05909990839643,3349
Oxydolor,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 20 mg,60 szt.,05909990839780,3350
Oxydolor,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 40 mg,60 szt.,05909990840038,3351
Oxydolor,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 80 mg,60 szt.,05909990840182,3352
Oxyduo,Oxycodoni hydrochloridum + Naloxoni hydrochloridum, tabletki o przed³u¿onym uwalnianiu, 5+2.5 mg,60 szt.,05908289660418,3353
Oxyduo,Oxycodoni hydrochloridum + Naloxoni hydrochloridum, tabletki o przed³u¿onym uwalnianiu, 10+5 mg,60 szt.,05908289660425,3354
Oxyduo,Oxycodoni hydrochloridum + Naloxoni hydrochloridum, tabletki o przed³u¿onym uwalnianiu, 20+10 mg,60 szt.,05908289660432,3355
